Jogador;Equipa;Equipa dentro de um período de tempo seleccionado;Posição;Idade;Valor de mercado;Contrato termina;Partidas jogadas;Minutos jogados:;Golos;Golos esperados;Assistências;Assistências esperadas;Duelos/90;Duelos ganhos, %;Naturalidade;País de nacionalidade;Pé;Altura;Peso;Emprestado;Ações defensivas com êxito/90;Duelos defensivos/90;Duelos defensivos ganhos, %;Duelos aérios/90;Duelos aéreos ganhos, %;Cortes/90;Cortes de carrinho ajust. à posse;Remates intercetados/90;Interseções/90;Interceções ajust. à posse;Faltas/90;Cartões amarelos;Cartões amarelos/90;Cartões vermelhos;Cartões vermelhos/90;Acções atacantes com sucesso/90;Golos/90;Golos sem ser por penálti;Golos sem ser por penálti/90;Golos esperados/90;Golos de cabeça;Golos de cabeça/90;Remate;Remates/90;Remates à baliza, %;Golos marcados, %;Assistências/90;Cruzamentos/90;Cruzamentos certos, %;Cruzamentos do flanco esquerdo/90;Cruzamentos precisos do flanco esquerdo, %;Cruzamentos do flanco direito/90;Cruzamentos precisos do flanco direito, %;Cruzamentos para a área de baliza/90;Dribles/90;Dribles com sucesso, %;Duelos ofensivos/90;Duelos ofensivos ganhos, %;Toques na área/90;Corridas progressivas/90;Acelerações/90;Passes recebidos/90;Passes longos recebidos/90;Faltas sofridas/90;Passes/90;Passes certos, %;Passes para a frente/90;Passes para a frente certos, %;Passes para trás/90;Passes para trás certos, %;Passes laterais/90;Passes laterais certos, %;Passes curtos / médios /90;Passes curtos / médios precisos, %;Passes longos/90;Passes longos certos, %;Comprimento médio de passes, m;Comprimento médio de passes longos, m;Assistências esperadas/90;Assistências para remate/90;Segundas assistências/90;Terceiras assistências/90;Passes inteligentes/90;Passes inteligentes certos, %;Passes chave/90;Passes para terço final/90;Passes certos para terço final, %;Passes para a área de penálti/90;Passes precisos para a área de penálti, %;Passes em profundidade/90;Passes em profundidade certos, %;Receção de passes em profundidade/90;Cruzamentos em profundidade recebidos/90;Passes progressivos/90;Passes progressivos certos, %;Golos sofridos;Golos sofridos/90;Remates sofridos;Remates sofridos/90;Jogos sem sofrer golos;Defesas, %;Golos sofridos esperados ;Golos sofridos esperados/90;Golos expectáveis defendidos;Golos expectáveis defendidos por 90´;Passes para trás recebidos pelo guarda-redes/90;Saídas/90;Duelos aérios/90;Livres/90;Livres directos/90;Pontapés livres directos à baliza, %;Cantos/90;Penaltis marcados;Conversão de penaltis, %
Dawhan;Gamba Osaka;Gamba Osaka;RCMF, DMF, LCMF;26;1000000;;16;1489;3;1,17;1;1,37;13,3;51,82;Brazil;Brazil;direito;177;69;sim;8,1;5,38;59,55;3,32;50,91;0,3;0,37;0,36;4,59;5,67;1,21;3;0,18;0;0;0,73;0,18;3;0,18;0,07;3;0,18;10;0,6;50;30;0,06;0,06;0;0,06;0;0;0;0;0,36;83,33;1,75;55,17;0,6;0,42;0,24;26,17;0,06;0,85;40,74;92,14;10,09;82,04;6,35;97,14;16,74;96,03;37,66;94,54;3,02;64;17,3;33,06;0,08;0,54;0;0;0,24;50;0,24;4,59;84,21;0,54;44,44;0,36;50;0,54;0;4,84;75;0;;0;;0;0;0;0;;;0,18;;;0;0;0;0;0;0
Pedrinho;Lokomotiv Moskva;Lokomotiv Moskva;LW, CF, RW;22;1800000;2026-06-30;27;1486;4;4,28;1;1,66;25,38;40,81;Brazil;Brazil;direito;176;64;sim;5,33;6,66;49,09;1,21;15;0,3;0,38;0;1,76;2,2;1,45;5;0,3;0;0;5,81;0,24;4;0,24;0,26;0;0;46;2,79;43,48;8,696;0,06;2,18;22,22;1,7;25;0,48;12,5;0,18;6,84;57,52;13,87;42,79;3,27;4,91;3,27;19,26;1,27;0,85;27,56;76,7;5,69;64,89;5,33;95,45;9,81;80,86;23,98;82,58;1,51;60;18,01;18,21;0,1;1,27;0,12;0;0,61;30;0,67;2,79;67,39;1,88;51,61;0,61;20;1,27;0,36;3,45;78,95;0;;0;;0;0;0;0;;;0;;;0,06;0,06;100;0,48;0;0
Auremir;Goiás;Goiás;RCMF, RDMF, DMF;31;600000;2022-12-31;25;1482;0;0,34;0;0,03;18,77;49,51;Brazil;Brazil;direito;174;64;sim;9,6;8,5;56,43;3,22;35,85;0,55;0,63;0,55;4,25;4,9;1,94;3;0,18;0;0;0,67;0;0;0;0,02;0;0;4;0,24;25;0;0;0,06;100;0;0;0,06;100;0;0,85;64,29;3,83;39,68;0,24;0,55;0,43;17,67;0,12;0,85;29,33;85,3;10,14;70,06;3,7;96,72;10,93;95;26,96;87,84;2,31;55,26;16,95;20,84;0;0,18;0;0,06;0,06;0;0;4,68;64,94;0,49;37,5;0,24;0;0,12;0,06;4,01;65,15;0;;0;;0;0;0;0;;;0,73;;;0;0;0;0;0;0
Danilo Fernandes;Bahia;Bahia;GK;34;500000;2022-12-31;15;1478;0;0;0;0;0,49;75;Brazil;Brazil;direito;188;88;sim;1,1;0;0;0,37;66,67;0;0;0;1,1;1,39;0;1;0,06;0;0;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;100;0,12;100;0;0;0;6,88;0,06;0,12;13,34;87,67;7;78,26;0,06;100;5,85;97,92;9,44;99,35;3,9;59,38;30,64;48,14;0;0;0;0;0;0;0;1,28;61,9;0,06;0;0;0;0;0;2,31;89,47;13;0,79;58;3,53;8;77,59;15,08;0,92;2,08;0,127;0;2,01;0,37;;;;0;0;0
Kanu;Botafogo;Botafogo;RCB, LCB;25;3000000;2025-12-31;17;1472;0;1,05;0;0;10,88;65,73;Brazil;Brazil;direito;186;74;sim;7,28;3,97;67,69;4,34;59,15;0,55;0,78;0,49;4,04;5,71;0,79;3;0,18;0;0;0,55;0;0;0;0,06;0;0;6;0,37;33,33;0;0;0,06;0;0;0;0,06;0;0;0,43;100;1,1;66,67;0,49;0,37;0;27,76;0,12;0,67;41,51;91,02;14,55;81,51;1,53;92;22,07;98,34;36,32;94,28;5,14;69,05;21,16;28,26;0;0;0,06;0;0;0;0;2,45;75;0,18;33,33;0;0;0,06;0;6,11;72;0;;0;;0;0;0;0;;;0,98;;;0;0;0;0;0;0
Mailson;Al Taawon;Al Taawon;GK;26;2000000;2025-06-30;15;1472;0;0;0;0;1,04;88,24;Brazil;Brazil;direito;197;90;sim;1,28;0,06;100;0,61;100;0;0;0;1,22;1,47;0;0;0;0;0;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;100;0,06;100;0;0;0;10,03;0,18;0,06;19,08;87,18;10,03;77,44;0;0;7,89;98,45;12,72;97,12;6,36;67,31;31,69;51,12;0;0;0;0;0;0;0;2,26;56,76;0,18;0;0,12;0;0;0;4,65;80,26;17;1,04;86;5,26;5;80,23;23,14;1,41;6,14;0,375;0;3,12;0,61;;;;0;0;0
Matheus Alexandre;Coritiba;Coritiba;RB;23;450000;2023-12-31;18;1471;0;0;0;0,52;15,6;52,55;Brazil;Brazil;direito;188;88;sim;8,81;7,1;61,21;2,63;55,81;0,67;0,84;0,43;3,79;4,71;1,16;5;0,31;0;0;1,41;0;0;0;0;0;0;0;0;0;0;0;2,26;45,95;0;0;2,26;45,95;0,06;0,86;42,86;2,69;29,55;0,43;0,67;0,06;24,72;2,69;0,31;32,61;88,18;9,79;82,5;5,02;96,34;11,87;93,3;28,82;93,21;1,65;51,85;18,19;25,1;0,03;0,37;0,06;0;0,06;0;0,24;3;91,84;1,53;64;0,06;0;0,12;0,98;6,24;73,53;0;;0;;0;0;0;0;;;0,55;;;0;0;0;0;0;0
Bruno Melo;Corinthians;Corinthians;LWB, LB;29;700000;2023-12-31;20;1468;0;1,55;0;0,45;15,45;55,95;Brazil;Brazil;esquerdo;183;76;sim;5,64;4,84;53,16;6,19;69,31;0;0;0,06;3,07;4,07;1,29;2;0,12;0;0;1,1;0;0;0;0,1;0;0;11;0,67;45,45;0;0;1,47;29,17;1,47;29,17;0;0;0,43;0,74;50;2,21;50;1,59;0,8;0,18;24,58;2,33;0,61;32;83,72;11,65;72,11;4,54;98,65;10,85;85,88;28,08;88,86;2,57;54,76;19,85;34,56;0,03;0,25;0;0;0;0;0,18;3,19;69,23;1,1;38,89;0,31;80;0,25;0,49;5,7;80,65;0;;0;;0;0;0;0;;;0,31;;;0;0;0;0;0;0
Daniel Borges;Botafogo;Botafogo;LB, RB;29;800000;2023-12-31;19;1460;1;0,37;2;2,18;14,61;54,43;Brazil;Brazil;direito;174;68;sim;8,32;6,35;65,05;1,73;46,43;0,31;0,46;0,06;3,88;5,76;0,74;2;0,12;1;0,06;2,47;0,06;1;0,06;0,02;0;0;8;0,49;37,5;12,5;0,12;3,02;38,78;1,36;22,73;1,66;51,85;0,49;1,85;56,67;4,5;46,58;0,43;1,97;1,11;36,8;1,73;0,62;49,19;82,83;18,18;78,31;6,16;98;18,37;83,56;41,18;89,97;5,05;51,22;19,48;34,52;0,13;1,36;0;0,06;0,18;33,33;0,31;7,34;72,27;3,45;39,29;0,68;18,18;0,37;1,36;11,77;74,87;0;;0;;0;0;0;0;;;0,99;;;1,42;0,12;50;2,22;0;0
Patrick de Paula;Botafogo;Botafogo;RCMF, RDMF, LCMF;23;11000000;2026-12-31;23;1454;1;1,89;1;0,23;17,7;52,1;Brazil;Brazil;esquerdo;178;75;sim;8,6;6,93;58,04;2,35;52,63;0,31;0,42;0,12;4,27;5,73;0,99;4;0,25;0;0;2,54;0,06;1;0,06;0,12;0;0;32;1,98;31,25;3,125;0,06;0,5;37,5;0,25;25;0,25;50;0;2,17;68,57;6,44;49,04;0,37;1,36;0,43;23,52;0,37;1,86;35,53;83,97;10,96;64,97;4,33;95,71;15,66;93,68;30,08;88,89;5,01;59,26;21,81;33,8;0,01;0,37;0,06;0;0,68;36,36;0,19;6,13;78,79;1,67;40,74;1,05;17,65;0,31;0,19;6,44;73,08;0;;0;;0;0;0;0;;;0,74;;;0,74;0,31;100;0,62;1;0
Léo Gamalho;Coritiba;Coritiba;CF;36;300000;2022-12-31;20;1450;7;5,98;0;1,62;17,57;41,34;Brazil;Brazil;direito;188;87;sim;2,3;2,36;55,26;7,7;44,35;0,31;0,38;0,12;0,68;0,83;1,18;0;0;0;0;1,37;0,43;5;0,31;0,37;3;0,19;24;1,49;62,5;29,167;0;0,31;40;0,12;0;0,19;66,67;0,06;0,37;66,67;4,34;40;2,17;0,19;0,06;9,12;1,12;1,86;13,16;84,43;2,73;63,64;4,47;95,83;3,04;85,71;12,04;86,6;0,81;69,23;15,57;15,69;0,1;0,68;0,06;0;0,43;14,29;0,12;1,24;45;0,56;55,56;0,37;33,33;0,43;0,12;0,93;80;0;;0;;0;0;0;0;;;0;;;0,06;0,06;0;0;2;100
Adson;Corinthians;Corinthians;RAMF, RW, RWF;21;5000000;2024-12-31;30;1450;3;2,02;0;1,01;24,08;45,62;Brazil;Brazil;esquerdo;171;64;sim;7,32;6,83;64,55;2,23;27,78;0,68;0,98;0;2,23;3,2;1,74;1;0,06;0;0;4,34;0,19;3;0,19;0,13;1;0,06;24;1,49;33,33;12,5;0;1,49;25;0,62;30;0,87;21,43;0,12;5,21;57,14;11,17;44,44;2,48;3,1;1,61;31,84;1,49;1,49;41,71;86,01;9,37;76,82;13,1;94,31;9,99;86,34;39,48;88,99;0,87;57,14;14,36;12,42;0,06;0,62;0,12;0,06;1,12;44,44;0,25;2,67;76,74;2,92;55,32;0,87;28,57;1,61;0,37;4,47;75;0;;0;;0;0;0;0;;;0;;;0,06;0;0;0,37;0;0
Pablo;Flamengo;Flamengo;LCB, RCB;31;4000000;2025-12-31;16;1447;0;1,06;0;0,13;13,37;60;Brazil;Brazil;direito;188;85;sim;7,96;4,73;68,42;4,91;63,29;0,12;0,18;0,62;4,6;6,57;1,43;4;0,25;0;0;0,19;0;0;0;0,07;0;0;7;0,44;28,57;0;0;0;0;0;0;0;0;0;0,12;50;1,24;35;0,81;0,44;0,06;33,15;0,31;0,25;48,02;92,1;16,54;84,21;3,17;96,08;23,76;97,12;44,22;93,95;3,79;70,49;20;33,92;0,01;0,06;0;0;0;0;0,06;3,17;72,55;0,06;100;0;0;0,12;0;6,47;69,23;0;;0;;0;0;0;0;;;2,55;;;0;0;0;0;0;0
Luccas Claro;Eyüpspor;Eyüpspor;LCB, RCB;30;1200000;2024-06-30;20;1445;0;0,81;0;0,24;11,27;61,33;Brazil;Brazil;direito;182;83;sim;5,85;3,36;61,11;4,42;67,61;0,06;0,09;0,81;3,74;5,2;0,75;4;0,25;0;0;0,31;0;0;0;0,05;0;0;7;0,44;28,57;0;0;0,19;0;0,06;0;0,12;0;0;0,31;60;1,62;50;0,69;0,44;0,06;26,03;0,25;0,81;36,19;86,92;15,32;74,8;1,74;92,86;15,63;96,41;31,02;92,57;4,98;55;21,8;33,55;0,01;0,12;0,06;0;0,06;0;0;3,3;62,26;0,44;14,29;0,19;0;0,12;0;6,17;63,64;0;;0;;0;0;0;0;;;1,12;;;0;0;0;0;0;0
Arthur;Atlético GO;Atlético GO;LB;28;500000;2024-12-31;24;1439;1;0,22;2;1,03;20,58;52,28;Brazil;Brazil;esquerdo;176;68;sim;9,88;8,01;64,84;2,06;60,61;0,13;0,18;0,19;4,57;6,5;1,25;1;0,06;1;0,06;3,31;0,06;1;0,06;0,01;0;0;5;0,31;20;20;0,13;2,31;29,73;2,19;31,43;0,06;0;0,19;4;62,5;7,82;44;0,81;3,31;1,56;28,08;2,31;1,06;39,9;82,6;14,7;76,17;5,5;93,18;13,38;84,58;34,59;88,61;3,13;52;18;33,01;0,06;1;0;0;0,31;20;0,19;4,63;70,27;3,06;40,82;0,38;33,33;0,81;0,69;7,76;76,61;0;;0;;0;0;0;0;;;0,44;;;0,19;0;0;0,56;0;0
Cléber;Ceará;Ceará;CF;25;1000000;2024-12-10;28;1436;4;5,16;0;0,76;30,46;37,24;Brazil;Brazil;direito;199;82;sim;4,07;5,01;42,5;11,47;39,89;0,25;0,37;0;1,69;2,47;2,88;4;0,25;1;0,06;2,44;0,25;4;0,25;0,32;0;0;39;2,44;48,72;10,256;0;1,13;16,67;0,19;33,33;0,94;13,33;0,13;1,94;51,61;8,34;30,08;4,14;0,63;0,5;10,78;0,88;0,81;17,8;76,41;2,88;67,39;6,46;89,32;4,45;66,2;16,3;81,15;0,44;42,86;15,51;7,44;0,05;0,63;0;0;0,25;25;0,19;1,82;75,86;0,75;33,33;0,19;33,33;0,44;0,25;1,88;76,67;0;;0;;0;0;0;0;;;0;;;0;0;0;0;1;0
Pablo Maia;São Paulo;São Paulo;DMF, RCMF, LCMF;20;5000000;2023-09-30;23;1434;0;0,62;0;0,22;16,13;52,92;Brazil;Brazil;direito;178;72;sim;8,97;8,6;54,74;2,51;50;0,38;0,55;0,19;3,89;5,64;1,69;3;0,19;0;0;0,88;0;0;0;0,04;0;0;19;1,19;31,58;0;0;0,31;40;0,19;33,33;0,13;50;0,06;0,44;57,14;2,2;48,57;0,13;0,38;0,06;35,84;0,13;0,63;49,33;90,2;12,68;81,19;6,15;95,92;23,97;93,98;45,38;92,39;3,64;67,24;18,73;28,64;0,01;0,25;0;0,06;0,31;40;0,06;7,41;83,05;0,94;46,67;0,69;36,36;0,44;0,13;5,96;74,74;0;;0;;0;0;0;0;;;0,75;;;0,13;0,06;100;0;0;0
Marlon;Ankaragücü;Ankaragücü;LB;25;3500000;2024-06-30;15;1433;0;0,01;3;2,46;13,44;47,2;Brazil;Brazil;esquerdo;173;68;sim;8,6;6,78;51,85;1,44;30,43;0,88;1,18;0,25;4,21;5,63;1,38;2;0,13;0;0;2,32;0;0;0;0;0;0;4;0,25;0;0;0,19;3,96;44,44;3,77;43,33;0,13;100;0,19;1,13;44,44;3,08;46,94;0,38;1,38;1;26,82;1,32;0,88;36,18;77,43;13,75;69,86;3,77;96,67;12,88;79,51;27,82;86,91;4,52;48,61;20,4;37,3;0,15;1,19;0;0,06;0,13;50;0,63;4,65;67,57;3,96;44,44;0,69;18,18;0,38;1,51;9,11;74,48;0;;0;;0;0;0;0;;;0,19;;;1,19;0,13;0;2,39;0;0
Léo Baptistão;Almería;Almería;RAMF, CF, AMF;30;1500000;2026-06-30;21;1433;5;4,91;2;1,4;24,37;44,07;Brazil;Brazil, Spain;direito;184;72;sim;6,85;5,59;53,93;5,53;34,09;0,94;1,26;0,06;2,89;3,87;1,38;2;0,13;0;0;3,45;0,31;5;0,31;0,31;0;0;31;1,95;38,71;16,129;0,13;1,76;25;0,19;0;1,51;29,17;0,06;3,33;66,04;9,61;49,02;3,01;1,63;1,44;14,57;1,19;2,51;23,61;73,94;5,65;60;5,84;89,25;6,85;72,48;20,91;78,98;1,07;52,94;17,07;18,15;0,09;0,63;0,06;0;0,82;7,69;0,38;2,51;57,5;1,57;36;0,94;13,33;0,75;0,44;3,2;68,63;0;;0;;0;0;0;0;;;0,06;;;0;0;0;0,06;0;0
Ângelo;Santos;Santos;RW, RWF, RAMF;17;11000000;2024-12-10;31;1433;0;1,74;4;3,23;31,78;40,91;Brazil;Brazil;esquerdo;173;65;sim;5,97;6,03;53,13;1,51;4,17;0,13;0,16;0,06;2,64;3,3;1,51;5;0,31;0;0;7,54;0;0;0;0,11;0;0;26;1,63;30,77;0;0,25;2,7;23,26;0,94;33,33;1,76;17,86;0,38;11,49;53,01;21,17;42,14;2,32;7,16;3,14;17,65;1;1,44;24,93;70,78;7,85;62,4;3,83;88,52;9,11;76,55;20,79;79,76;1,44;30,43;18,31;14,6;0,2;1,26;0;0,06;1,13;27,78;0,75;3,01;68,75;4,08;44,62;1,7;29,63;1,82;0,75;5,65;82,22;0;;0;;0;0;0;0;;;0;;;0,06;0;0;0,5;0;0
Valdívia;Cuiabá;Cuiabá;LW, AMF, LWF;27;550000;2022-12-31;25;1429;2;2,77;0;2,45;19,52;41,61;Brazil;Brazil;direito;174;70;sim;3,84;4,47;49,3;3,46;38,18;0,13;0,14;0,06;1,51;1,73;1,07;4;0,25;1;0,06;3,65;0,13;2;0,13;0,17;0;0;30;1,89;36,67;6,667;0;3,02;25;2,52;25;0,5;25;0,44;4,09;49,23;8,88;39,01;2,02;2,33;1,2;19,97;1,57;1,64;27,65;79,04;8,25;75,57;5,67;97,78;7,31;72,41;23,43;86,02;1,26;75;17,58;15,09;0,15;1,13;0,13;0;0,44;42,86;0,38;1,83;82,76;2,39;47,37;0,25;50;0,63;0,63;3,78;75;0;;0;;0;0;0;0;;;0;;;0,44;0,25;75;0,94;0;0
Patrick;Bahia;Bahia;RDMF, RCMF, DMF;22;1500000;2023-12-31;15;1422;0;0,13;1;0,53;15,38;47,74;Brazil;Brazil;direito;180;75;sim;7,91;6,9;50,46;4,05;43,75;0,44;0,56;0,06;3,99;5;1,2;2;0,13;0;0;0,7;0;0;0;0,01;0;0;4;0,25;0;0;0,06;0,63;30;0,13;0;0,51;37,5;0;0,57;55,56;1,71;44,44;0,57;1,39;0,51;29,24;0,44;0,63;43,48;86,9;13,99;78,28;4,62;95,89;18,48;91,1;39,37;89,55;3,54;67,86;18,52;32,51;0,03;0,63;0,06;0;0,38;50;0,19;6,14;82,47;1,58;56;0,57;66,67;0,82;0,13;6,14;74,23;0;;0;;0;0;0;0;;;0,25;;;0;0;0;0;0;0
Matheus Martins;Fluminense;Fluminense;LAMF, RAMF, RW;19;4500000;2024-12-31;23;1419;2;2,85;2;1,77;24,48;41,71;Brazil;Brazil;direito;179;77;sim;6,22;5,07;68,75;2,09;15,15;0,38;0,69;0,19;2,35;4,24;1,14;2;0,13;0;0;3,93;0,13;2;0,13;0,18;0;0;29;1,84;24,14;6,897;0,13;2,98;27,66;1,46;43,48;1,52;12,5;0,25;5,77;42,86;13,76;39,17;3,36;2,09;0,32;26,7;1,21;2,47;35,52;82,32;7,36;84,48;8,88;90;9,58;83,44;31,65;87,98;0,95;66,67;15,85;19,32;0,11;1,01;0;0,13;0,38;50;0,51;2,16;82,35;2,73;55,81;0,44;42,86;1,65;0,76;3,55;83,93;0;;0;;0;0;0;0;;;0,06;;;0,19;0,06;0;0,51;0;0
E. Velázquez;Juárez;Juárez;RCB, LCB, CB;28;1000000;2022-12-31;18;1412;0;0,58;0;0,01;15,04;57,63;Uruguay;Uruguay;direito;184;79;sim;10,39;7,14;66,07;3,95;53,23;0,76;1,05;0,83;4,91;6,72;0,64;0;0;0;0;0,64;0;0;0;0,04;0;0;4;0,25;0;0;0;0,25;0;0,06;0;0,19;0;0;0,64;90;1,08;58,82;0,57;0,38;0;32,57;0,83;0,13;48,38;87,48;21,35;78,81;2,04;96,88;22,37;94,59;42,2;93,05;5,93;51,61;23,8;31,83;0;0,19;0,06;0;0,13;50;0;7,14;74,11;0,51;25;0,19;33,33;0,19;0;10,71;79,17;0;;0;;0;0;0;0;;;1,4;;;0;0;0;0;0;0
Léo Cittadini;Athletico Paranaense;Athletico Paranaense;LCMF, RCMF, AMF;28;2000000;2023-12-30;28;1411;1;0,98;1;0,19;16,49;47,52;Brazil;Brazil, Italy;esquerdo;178;72;sim;7,77;7,09;53,85;1,91;39,29;0,14;0,17;0,41;3,82;4,87;1,7;3;0,19;0;0;0,89;0,06;1;0,07;0,07;1;0,07;15;1,02;33,33;6,667;0,07;0,68;30;0,61;33,33;0,07;0;0,07;1,16;23,53;4,22;32,26;1,16;1,02;0,55;21,94;0,34;1,36;30,32;87,64;7,15;78,1;4,91;97,22;12,74;92,51;28,21;91,06;1,43;47,62;16,32;18,45;0,01;0,27;0,07;0;0,2;33,33;0,07;4,16;81,97;0,89;38,46;0,41;16,67;0,27;0,2;3,2;74,47;0;;0;;0;0;0;0;;;0,27;;;0;0;0;0,07;0;0
Vitinho;Al Ettifaq;Al Ettifaq;CF, LWF, LW;28;3500000;2025-06-30;26;1410;2;3,18;3;2,19;27,45;44,88;Brazil;Brazil;direito;180;75;sim;6,7;7,21;57,52;4,15;40;0,06;0,1;0,26;2,49;3,84;2,43;3;0,19;0;0;4,4;0,13;2;0,13;0,2;0;0;38;2,43;31,58;5,263;0,19;2,3;25;1,28;10;1,02;43,75;0,51;5,3;51,81;12,89;43,56;4,21;2,94;1,02;22,6;1,21;1,21;30,51;80,54;8,3;74,62;5,87;94,57;10,85;80;27,64;85,68;0,77;41,67;18,02;15,26;0,14;1,28;0,13;0;0,7;45,45;0,89;3,38;73,58;2,81;45,45;0,89;42,86;1,79;0,57;4,28;83,58;0;;0;;0;0;0;0;;;0;;;0,26;0,19;33,33;1,34;0;0
Ferreira;Grêmio;Grêmio;LAMF, LW;24;7000000;2024-12-31;18;1403;2;3,65;4;2,67;26,81;48,09;Brazil;Brazil;direito;175;65;sim;5,65;5,2;49,38;0,83;38,46;0,26;0,34;0;2,82;3,75;0,71;1;0,06;0;0;8,85;0,13;2;0,13;0,23;0;0;46;2,95;43,48;4,348;0,26;2,44;23,68;2,31;25;0,13;0;0,51;11,48;58,66;18,22;51,06;4,62;4,88;1,41;29,25;1,54;2,12;37,08;83,39;7,76;78,51;9,81;93,46;10,78;83,93;33,81;88,05;0,9;64,29;16,07;16,61;0,17;1,41;0,19;0,06;0,58;44,44;0,64;2,89;86,67;2,57;55;0,58;55,56;1,67;0,58;4,75;86,49;0;;0;;0;0;0;0;;;0;;;0,06;0,06;0;1,22;0;0
Paulo Henrique;Juventude;Juventude;RW, RB, RWB;26;300000;2022-12-31;27;1400;1;0,96;0;2,87;27,08;52,04;Brazil;Brazil;direito;175;74;sim;9,74;9,61;58,11;2,14;60,61;0,13;0,16;0,19;4,03;4,82;2,01;2;0,13;0;0;6,75;0,06;1;0,06;0,06;0;0;15;0,97;20;6,667;0;5,39;34,94;0,06;0;5,32;35,37;0,39;7,92;58,2;12,4;48,69;1,75;3,18;1,56;17,21;1,88;0,97;27,4;70,14;6,95;65,42;3,31;92,16;12,14;71,12;19,55;81,4;2,79;55,81;20,97;26,61;0,19;1,56;0;0;0,26;25;0,78;2,73;66,67;4,61;50,7;0,45;42,86;1,17;1,69;6,43;68,69;0;;0;;0;0;0;0;;;0,32;;;0;0;0;0;0;0
Rafael Thyere;Sport Recife;Sport Recife;RCB;29;500000;2024-12-31;15;1399;0;0,03;0;0,34;9,46;63,95;Brazil;Brazil;direito;189;86;sim;9,46;4,05;65,08;3,15;57,14;0,58;0,72;1,16;6,24;7,74;0,45;2;0,13;0;0;0,32;0;0;0;0;0;0;1;0,06;100;0;0;0,06;0;0;0;0,06;0;0;0,26;100;0,51;75;0,45;1,03;0,06;34,22;0,26;0,06;45,03;94,43;14,02;88,99;2,44;94,74;24,9;97,42;42,2;96,8;2,77;60,47;21,22;31,25;0,02;0,26;0,13;0;0,06;0;0,06;3,99;83,87;0,32;0;0,26;25;0,26;0;5,4;83,33;0;;0;;0;0;0;0;;;1,87;;;0;0;0;0;0;0
Ramon Menezes;Atlético GO;Atlético GO;LCB;27;1000000;2024-12-31;14;1398;0;0,77;0;0,02;10,17;55,7;Brazil;Brazil;direito;186;81;sim;6,24;3,86;53,33;4,83;64;0,19;0,28;0,32;3,99;5,69;0,64;2;0,13;0;0;0,13;0;0;0;0,05;0;0;5;0,32;40;0;0;0;0;0;0;0;0;0;0;0;0,19;0;0,32;0;0,06;30,45;0,39;0;43,71;93,37;15,84;86,18;2,19;100;23,24;97,23;39,79;95,63;3,93;70,49;21,8;35,75;0;0,06;0,06;0;0;0;0;2,96;82,61;0,06;0;0;0;0;0;6,24;76,29;0;;0;;0;0;0;0;;;1,93;;;0;0;0;0;0;0
E. Rigoni;Austin FC;Austin FC;CF, RAMF;29;3500000;2024-12-31;24;1397;1;3,38;1;4,02;18,04;40;Argentina;Argentina, Italy;esquerdo;181;74;sim;4,51;4,38;45,59;2,58;45;0,13;0,19;0,06;2,38;3,47;1,48;2;0,13;0;0;3,67;0,06;1;0,06;0,22;0;0;34;2,19;20,59;2,941;0,06;3,16;38,78;0,77;41,67;2,38;37,84;0,58;3,93;45,9;8,05;40,8;2,13;1,87;1,03;20,23;1,93;0,84;24,93;75,71;4,51;65,71;6,18;85,42;8,25;74,22;20,55;81,19;1,48;73,91;19,05;32,75;0,26;1,55;0;0;0,45;42,86;0,84;1,93;63,33;3,16;46,94;0,58;44,44;0,64;1,22;3,03;82,98;0;;0;;0;0;0;0;;;0,06;;;1,1;0,32;40;2,71;0;0
Lucas Crispim;Fortaleza;Fortaleza;LWB, RW;28;2500000;2022-12-31;25;1394;1;0,29;3;2,19;10,85;48,81;Brazil;Brazil;direito;178;72;sim;6,13;4,13;54,69;1,94;46,67;0,45;0,59;0,13;3,42;4,45;0,9;5;0,32;0;0;2,07;0,06;1;0,06;0,02;0;0;15;0,97;20;6,667;0,19;2,32;50;1,29;50;1,03;50;0,19;1,36;52,38;2,91;51,11;0,45;0,71;0,19;27,57;1,74;0,84;37,32;84,6;11,69;74,59;6,39;96,97;12,72;85,28;32,15;89,96;2,91;53,33;17,27;29,84;0,14;1,48;0,06;0;0,26;0;0,26;6,13;71,58;3,16;51,02;0,9;35,71;0,58;1,1;7,23;81,25;0;;0;;0;0;0;0;;;0,32;;;1,61;0,39;33,33;3,74;0;0
Mikael;Internacional;Internacional;CF;23;2000000;2023-06-30;15;1387;7;8,43;1;0,66;24,66;40,26;Brazil;Brazil;esquerdo;184;77;sim;2,86;2,08;46,88;8,5;45,8;0,32;0,4;0,13;1,56;1,91;0,91;2;0,13;0;0;2,73;0,45;6;0,39;0,55;0;0;52;3,37;42,31;13,462;0,06;0,13;0;0,13;0;0;0;0;2,14;54,55;9,6;36,49;3,44;0,91;0,13;10,45;1,43;1,17;14,92;75,22;2,08;59,38;4,48;89,86;4,61;70,42;14,28;76,36;0,52;62,5;15,7;20,68;0,04;0,58;0;0;0,58;22,22;0,39;1,49;56,52;0,84;30,77;0,39;0;0,52;0;0,78;66,67;0;;0;;0;0;0;0;;;0;;;0,26;0,26;0;0;1;100
